gene,log2FC,p_value,q_value
INA,0.29798925,3.00259643583992e-17,4.605209257423191e-16
UCP2,-0.17412654,3.451448046099283e-17,5.277443495564653e-16
CCDC135,-0.69027317,3.7775439666943674e-17,5.758451168741413e-16
CD7,-0.4732079,3.896956121202762e-17,5.922425716113621e-16
CLEC18C,-0.6885829,3.938155890683461e-17,5.96690286467191e-16
OLR1,-0.27416125,3.9584776732374895e-17,5.97957352452793e-16
S100A10,-0.20093393,3.989020009969436e-17,6.007560255978066e-16
RHOH,-0.4229775,4.290710849903862e-17,6.442508783639432e-16
CD68,-0.14899866,4.653272792807963e-17,6.96597723474246e-16
PCBP3,0.22280094,4.706175637117118e-17,7.024142741965847e-16
HLA-DOA,-0.29342547,4.805974878449836e-17,7.151748331026542e-16
MADCAM1,0.6231101,4.9912818450520055e-17,7.405462678118702e-16
PTCH2,-0.21492973,5.052090939834947e-17,7.473507307448147e-16
MS4A14,-0.34030846,5.0988078929537906e-17,7.52036562382565e-16
PIK3CG,-0.37764058,5.158035202909592e-17,7.585345886631752e-16
GPR34,-0.19439691,5.470617698592797e-17,8.0214335756492635e-16
FCGBP,-0.2790529,5.5371182343880966e-17,8.09520209705862e-16
GRM8,0.28160238,5.624501070806225e-17,8.198981152778754e-16
SLC7A14,0.24272186,6.228658682687005e-17,9.05328296902181e-16
NCF4,-0.22000048,6.844228893842718e-17,9.919172309916982e-16
KCNAB1,0.21119082,7.032366202052271e-17,1.0162378904699813e-15
CTSC,-0.1621798,7.208675148722399e-17,1.0387139983749855e-15
HAR1A,0.44087473,7.586639608468345e-17,1.0900344265040726e-15
DLEC1,-0.39477924,9.345348287390241e-17,1.3388751128066248e-15
SEZ6L,0.21971403,9.466995309633418e-17,1.3524279013762023e-15
LOC389332,0.76775205,9.914728375964495e-17,1.4123544695106117e-15
CELSR3,0.18033837,1.0631883916571881e-16,1.5102107836039602e-15
SLC11A1,-0.3051857,1.0727533514781476e-16,1.5194806678160732e-15
MYH7,0.22520612,1.082590701819798e-16,1.5290829121748558e-15
LRRC33,-0.21185282,1.123001999354981e-16,1.5816929568380017e-15
CLEC7A,-0.2936061,1.126697495416189e-16,1.5824403025508272e-15
TREML1,-0.54154956,1.1606464626597316e-16,1.6255552698315567e-15
C13orf18,-0.27827916,1.4320482945577273e-16,2.0000674504996194e-15
GRIP1,0.3787239,1.4515750965899868e-16,2.0206878648447957e-15
HERC5,-0.25234714,1.454895262688253e-16,2.0206878648447957e-15
HMP19,0.23027644,1.5037044126305645e-16,2.0826930922861005e-15
STAR,0.3533054,1.5354991649505238e-16,2.115012623898793e-15
HPGDS,-0.2865842,1.5352539933297643e-16,2.115012623898793e-15
CTSS,-0.17099921,1.653594051446619e-16,2.271420400338762e-15
NCF1C,-0.5267347,1.6670719443421287e-16,2.2836601977289437e-15
PCSK2,0.34199813,1.6840664425131095e-16,2.3006372165479636e-15
MICB,-0.30149698,1.7855128810207127e-16,2.4325788569764476e-15
PDPN,-0.37638113,1.899615520709469e-16,2.5809993487900397e-15
HAS2,-0.35451427,1.9707393930060943e-16,2.6703785813090706e-15
CTSH,-0.19928639,2.0616668018632403e-16,2.7860362187341087e-15
C2,-0.24602136,2.251788335195426e-16,3.0347551687269896e-15
CD14,-0.17787656,2.293518012740684e-16,3.082685500995543e-15
KYNU,-0.49843052,2.346046965281258e-16,3.1448350741035627e-15
CDHR1,0.20825744,2.543691496868459e-16,3.400657081374945e-15
TMEM151B,0.21476866,2.5895624255568876e-16,3.452749900742517e-15
NEXN,-0.25192612,2.6121513453686664e-16,3.473605512458333e-15
AMZ1,0.24847716,2.65931994107079e-16,3.5269495239665657e-15
SMCR5,0.60555613,3.4719870686851185e-16,4.592575487678728e-15
PI16,-0.37262508,3.7334899703097134e-16,4.9254485096434205e-15
NCF1B,-0.39757615,3.7532790482652683e-16,4.938525063506932e-15
CEACAM21,-0.36732954,3.890416814784823e-16,5.1055338776703715e-15
CHI3L2,-0.3985901,3.938868148264411e-16,5.15558658149792e-15
PLEK,-0.19868545,4.060025716552545e-16,5.300294669128649e-15
DGKG,0.20192079,4.1866281508205994e-16,5.451338738047656e-15
LRRTM4,0.23237935,4.628054738777028e-16,6.010460699710427e-15
OLFML2B,-0.22911324,4.843937449120301e-16,6.274530374508161e-15
DGKK,1.0709817,5.044205745131493e-16,6.517061686216399e-15
HR,0.15289351,5.271914507669427e-16,6.793704262460602e-15
SRRM4,0.35051113,5.393079185315574e-16,6.9319783872950825e-15
RAC2,-0.24296805,5.538031436869389e-16,7.100040303678704e-15
HLA-DRA,-0.18928482,5.570747342285709e-16,7.123717829009857e-15
PHEX,-0.61449605,5.592440429842564e-16,7.133214833982863e-15
MNDA,-0.21538892,5.617831677410289e-16,7.147368546323522e-15
WNT5A,-0.17559434,5.66654452338102e-16,7.1910463494683e-15
LCP1,-0.15309085,5.846264507654572e-16,7.384104397511423e-15
MYOZ1,0.3183155,5.848210682829047e-16,7.384104397511423e-15
AQP7P3,-1.307117,6.013807078635942e-16,7.574064330775745e-15
SCRT2,0.48647192,6.392113993411554e-16,8.030293961572305e-15
SULF1,-0.30219048,7.351000364493208e-16,9.211779905379961e-15
FLNC,-0.26505816,7.393882492629802e-16,9.242353115787252e-15
HAMP,-0.58187795,7.438403007828725e-16,9.274816717990929e-15
RIMS2,0.37133956,7.560602998435007e-16,9.403735072680356e-15
COL17A1,0.69602823,7.692011317373652e-16,9.51981598684858e-15
CELF3,0.2173025,7.687014018306404e-16,9.51981598684858e-15
CD226,-0.46317488,7.988113922339493e-16,9.8618690399253e-15
TNFSF8,-0.40839913,8.150945419953004e-16,1.0038110123094832e-14
ZNF474,-0.6994832,9.056205681023931e-16,1.1125559804697705e-14
PLCE1,-0.1677719,9.590834721350295e-16,1.17534739232234e-14
GRIP2,0.5221482,1.0218180040475746e-15,1.2491662641168394e-14
TDRD9,0.4597279,1.0452930538200717e-15,1.2747476266098434e-14
P2RY6,-0.37047842,1.0782162880983647e-15,1.3116986473216117e-14
AOAH,-0.2042546,1.1310004608381311e-15,1.3725733748035572e-14
RGS18,-0.2837075,1.1369728817125124e-15,1.3764804863347606e-14
SCEL,1.0039481,1.1635961235204692e-15,1.405309327923272e-14
FGF14,0.18542157,1.1764913325959173e-15,1.4174594368625508e-14
TPTE2P3,0.6635913,1.1897480755398735e-15,1.4299856677161944e-14
LRRC25,-0.25411215,1.2018121239136659e-15,1.44102173131135e-14
HTR1A,0.902065,1.462250120672254e-15,1.7491030151581987e-14
IGSF6,-0.23635776,1.4709211896373283e-15,1.7510966543301527e-14
CD58,-0.2537429,1.4684987629698916e-15,1.7510966543301527e-14
MRC2,-0.15573032,1.4950075275208757e-15,1.7755433818537717e-14
MYH6,0.42227885,1.5103278528314176e-15,1.7894879772884095e-14
IL28RA,-0.33850545,1.5143089875670681e-15,1.7899633422778584e-14
VSIG4,-0.19477825,1.5852943894145648e-15,1.8694509309134018e-14
MUC1,-0.208922,1.785750445433641e-15,2.1008828769807538e-14
GPR114,-0.52499354,1.8576995165160608e-15,2.1803984935634518e-14
GABRA3,0.3010557,1.8849623584010647e-15,2.2072158763478508e-14
C10orf125,-0.27742445,1.9169018967711545e-15,2.2393713747326574e-14
CD69,-0.51103824,2.0109964832902473e-15,2.3438187450935282e-14
C1orf194,-0.43491533,2.147000907195589e-15,2.4965126827855688e-14
LOC150622,0.18970695,2.264835352048435e-15,2.6274192019123377e-14
GEM,-0.2262545,2.2836858993013183e-15,2.6431549760431923e-14
CASP4,-0.23084216,2.536138849784685e-15,2.9218189513648444e-14
PLAG1,-0.2991514,2.5309634284917096e-15,2.9218189513648444e-14
GABRG2,0.41724232,2.898006168394308e-15,3.331041572867021e-14
GJD2,1.0840611,2.9680071558262474e-15,3.403677930993403e-14
MMD2,0.24676624,3.0243448029412845e-15,3.460348744784078e-14
SLC2A13,0.16014302,3.1768689328419835e-15,3.6265627087237254e-14
PAX5,1.3686565,3.2359346037619014e-15,3.6855747195465844e-14
IFI44L,-0.21202901,3.3702836932556303e-15,3.829867833245035e-14
APOL4,-0.40973607,3.4169929731161037e-15,3.8658831340418413e-14
HPD,-1.2267187,3.417440690492988e-15,3.8658831340418413e-14
CD44,-0.16592936,3.438613888511075e-15,3.8810540502382336e-14
RHPN2,-0.15892011,3.5029341163890475e-15,3.9447456265642424e-14
MMP14,-0.16492435,3.91380437647225e-15,4.397533007272191e-14
SHC3,0.33879593,4.111165248904303e-15,4.608929651238008e-14
DIRAS3,-0.3221192,4.138813128979817e-15,4.6295448870020324e-14
C1orf88,-0.25955433,4.384516125006561e-15,4.893433175230537e-14
CUX2,0.37929878,4.953137310584911e-15,5.5157431075555795e-14
ESRRG,0.24062802,5.022168256603856e-15,5.580186951782062e-14
S1PR3,-0.19084863,5.137638652175711e-15,5.695829991325622e-14
MYT1L,0.4193954,5.643672198365222e-15,6.243000219430556e-14
AR,-0.42286935,5.680369088088411e-15,6.269723055285222e-14
LRGUK,-0.7402721,5.879583218985519e-15,6.475311915182288e-14
LOC100240726,-0.592812,5.999149604598819e-15,6.592472092965735e-14
TLX1,0.81446433,6.098669476546556e-15,6.687137583932626e-14
SLC37A2,-0.21029343,6.1747647892457465e-15,6.755760163288564e-14
C19orf18,-0.41312128,6.390542685595314e-15,6.97657498427436e-14
BMP8B,-0.33043736,6.4205356600128355e-15,6.994047559926836e-14
HOXA11AS,-1.7625282,6.4573414553263106e-15,7.018849407963381e-14
UPP1,-0.18886437,6.70442757113211e-15,7.271613417713785e-14
C9orf140,0.18536896,6.7837679127952834e-15,7.341740165362861e-14
ZNF99,1.2763785,7.231234457281192e-15,7.809108485184873e-14
ATP8B4,-0.21815686,7.303210525240645e-15,7.86983892806104e-14
LOC730811,1.1986176,7.45004148525692e-15,8.010797295975183e-14
RUNDC3A,0.13993116,8.066092697819196e-15,8.654605898947635e-14
SHANK2,0.23798072,8.236550411035108e-15,8.818576457211036e-14
DACH2,0.4534373,8.427922174604663e-15,9.004190357483614e-14
C7orf58,-0.2817828,8.486314718212103e-15,9.047243836047019e-14
HKDC1,0.32165828,8.709094541935614e-15,9.264994193548526e-14
BST2,-0.16247244,8.809396502388458e-15,9.35180095794953e-14
EGF,-0.35076585,8.852425255617648e-15,9.37756912671361e-14
KLHL6,-0.24443124,9.284475710543061e-15,9.814456353639599e-14
CRTAC1,0.21635318,9.607515449241301e-15,1.0134509967554115e-13
SCG2,0.17425904,1.0013218698302347e-14,1.0540230208739313e-13
ANKRD22,-0.4462258,1.0311433764191391e-14,1.0831337987595998e-13
ANK1,0.22647099,1.0989422067813856e-14,1.1519310343620395e-13
APOBEC3C,-0.24609673,1.1606677112249316e-14,1.2140875640428155e-13
B3GNT5,-0.22170936,1.259920634775759e-14,1.3151572388055938e-13
MLXIPL,-0.2739535,1.292397272038368e-14,1.3462471583732998e-13
CABP4,-0.5344595,1.3613132088764716e-14,1.415086495713588e-13
SIGLEC8,-0.21081781,1.4182638572416495e-14,1.4712280676780596e-13
KSR2,0.3160807,1.4571513002273538e-14,1.5084381989931198e-13
AQP6,0.22223434,1.5367684448599043e-14,1.5875707074999011e-13
GCNT2,0.1841739,1.5544981131111347e-14,1.602575374341376e-13
GLRA1,1.3426706,1.5712836945404035e-14,1.6165470108440365e-13
SLC16A3,-0.17967474,1.6002289212072604e-14,1.642945504319569e-13
PDE2A,0.17183848,1.6726093487855036e-14,1.713739086870393e-13
AQP1,-0.2166648,1.6849480561159914e-14,1.7228507731247355e-13
HOXA11,-1.6632015,1.6897169345882234e-14,1.7242009536614523e-13
HCN4,0.45106718,1.8053295879827485e-14,1.838421169025202e-13
BVES,-0.2135478,1.8467364942353958e-14,1.87676472991402e-13
TMC3,1.8748708,1.8673963192928803e-14,1.8939110743335502e-13
CACNA2D4,-0.2762173,1.9301739497687006e-14,1.9536173580654864e-13
C17orf87,-0.4127131,1.9658579035717566e-14,1.9857150541128853e-13
MSX2,0.5354618,1.984679197487039e-14,2.000684674886128e-13
POU4F1,-0.7766674,2.0312459532419545e-14,2.0435069952132338e-13
ANKRD35,-0.30989242,2.244872484213699e-14,2.2538880363591358e-13
HLA-DPB1,-0.20618784,2.4432746054401906e-14,2.4481709473348604e-13
OR4N4,1.2323188,2.504570801226582e-14,2.504570801226582e-13
LRRC66,-0.37897897,2.5960559826389616e-14,2.5908742341706205e-13
GFRA1,0.22695792,2.7530300500275268e-14,2.742061802816262e-13
MYOD1,1.1957158,2.8016926038273368e-14,2.784982707581846e-13
SCN7A,-0.66726434,2.930756975246633e-14,2.907496999252612e-13
LRAT,-0.4091916,2.954691544417266e-14,2.925437172690362e-13
CKMT1B,0.2604454,3.100148907547577e-14,3.0633882485648e-13
TLR8,-0.43940312,3.1292340998654676e-14,3.073903830909104e-13
RARRES3,-0.15948972,3.123551183397479e-14,3.073903830909104e-13
PIK3R6,-0.29959288,3.128702849195961e-14,3.073903830909104e-13
DLX3,0.8378533,3.141053577076714e-14,3.07946429125168e-13
DKKL1,-1.1337363,3.248394648910828e-14,3.178468345313922e-13
ASCL2,-0.4543922,3.2914070235553855e-14,3.214264671440806e-13
RIMS4,0.18591952,3.3388211278686556e-14,3.254211625602978e-13
FAM177B,-0.7381276,3.5489075151445925e-14,3.452244664537541e-13
HAPLN1,0.30731478,3.6039143907392185e-14,3.498946010426426e-13
C19orf51,-0.5575929,3.6758514574214076e-14,3.5618715672688057e-13
CPLX2,0.26356393,3.924142825262022e-14,3.795109115340447e-13
SYT4,0.36305794,4.174071922669541e-14,4.029026952383727e-13
ANXA2,-0.18247673,4.2279046796555485e-14,4.0731258956219155e-13
PRKCD,-0.16032545,4.675197846592909e-14,4.495382544800874e-13
C10orf55,-0.7628688,4.695490246717864e-14,4.506228643683171e-13
RHBDL1,0.22501454,4.8740803833521233e-14,4.668659371026938e-13
TNFRSF8,-0.6212666,4.9843022947971774e-14,4.765107356402655e-13
FBXO41,0.14293033,5.0079371816350126e-14,4.778566013010508e-13
SCARA5,0.68430775,5.0447860731192866e-14,4.804558164875511e-13
LOC150568,0.20555493,5.121816096168184e-14,4.868646479247322e-13
DDC,0.83456695,5.396682520354557e-14,5.120192144548916e-13
GPR183,-0.27475837,5.5905047592128765e-14,5.294038597739467e-13
GNA15,-0.20271993,6.092417895482546e-14,5.758429012743427e-13
